Site,Date,Hour,ED Enc,ED Enc Admitted
A,2018-01-01,1,16,6
A,2018-01-01,2,25,8
A,2018-01-01,3,52,16
A,2018-01-01,4,36,10
A,2018-01-02,1,18,5
A,2018-01-02,2,28,9
A,2018-01-02,3,44,6
A,2018-01-02,4,44,15
A,2018-01-03,1,16,5
A,2018-01-03,2,23,9
A,2018-01-03,3,38,11
A,2018-01-03,4,43,17
A,2018-01-04,1,10,3
A,2018-01-04,2,32,11
A,2018-01-04,3,40,16
A,2018-01-04,4,46,10
A,2018-01-05,1,21,11
A,2018-01-05,2,24,4
A,2018-01-05,3,38,18
A,2018-01-05,4,33,10
A,2018-01-06,1,11,1
A,2018-01-06,2,29,6
A,2018-01-06,3,49,14
A,2018-01-06,4,43,7
A,2018-01-07,1,7,1
A,2018-01-07,2,31,8
A,2018-01-07,3,25,8
A,2018-01-07,4,40,12
A,2018-01-08,1,17,5
A,2018-01-08,2,27,8
A,2018-01-08,3,37,14
A,2018-01-08,4,41,12
A,2018-01-09,1,18,6
A,2018-01-09,2,32,8
A,2018-01-09,3,40,12
A,2018-01-09,4,44,13
A,2018-01-10,1,13,5
A,2018-01-10,2,27,9
A,2018-01-10,3,36,15
A,2018-01-10,4,35,9
A,2018-01-11,1,9,5
A,2018-01-11,2,17,5
A,2018-01-11,3,38,11
A,2018-01-11,4,36,10
A,2018-01-12,1,10,2
A,2018-01-12,2,39,21
A,2018-01-12,3,41,19
A,2018-01-12,4,23,5
A,2018-01-13,1,7,4
A,2018-01-13,2,29,15
A,2018-01-13,3,37,13
A,2018-01-13,4,43,11
A,2018-01-14,1,15,7
A,2018-01-14,2,29,13
A,2018-01-14,3,46,16
A,2018-01-14,4,44,6
A,2018-01-15,1,20,5
A,2018-01-15,2,30,9
A,2018-01-15,3,35,11
A,2018-01-15,4,37,13
A,2018-01-16,1,13,2
A,2018-01-16,2,26,5
A,2018-01-16,3,43,18
A,2018-01-16,4,38,11
A,2018-01-17,1,12,3
A,2018-01-17,2,25,8
A,2018-01-17,3,38,13
A,2018-01-17,4,38,9
A,2018-01-18,1,20,8
A,2018-01-18,2,26,9
A,2018-01-18,3,45,14
A,2018-01-18,4,37,12
A,2018-01-19,1,17,5
A,2018-01-19,2,32,13
A,2018-01-19,3,47,16
A,2018-01-19,4,32,6
A,2018-01-20,1,14,3
A,2018-01-20,2,28,3
A,2018-01-20,3,57,11
A,2018-01-20,4,51,10
A,2018-01-21,1,19,4
A,2018-01-21,2,35,12
A,2018-01-21,3,34,9
A,2018-01-21,4,45,14
A,2018-01-22,1,12,1
A,2018-01-22,2,35,13
A,2018-01-22,3,40,11
A,2018-01-22,4,39,9
A,2018-01-23,1,11,4
A,2018-01-23,2,30,10
A,2018-01-23,3,49,17
A,2018-01-23,4,48,6
A,2018-01-24,1,18,4
A,2018-01-24,2,35,10
A,2018-01-24,3,38,14
A,2018-01-24,4,39,10
A,2018-01-25,1,15,4
A,2018-01-25,2,33,13
A,2018-01-25,3,36,13
A,2018-01-25,4,32,8
A,2018-01-26,1,14,4
A,2018-01-26,2,31,7
A,2018-01-26,3,41,16
A,2018-01-26,4,39,13
A,2018-01-27,1,13,2
A,2018-01-27,2,33,4
A,2018-01-27,3,46,17
A,2018-01-27,4,45,11
A,2018-01-28,1,13,5
A,2018-01-28,2,39,12
A,2018-01-28,3,43,17
A,2018-01-28,4,35,7
A,2018-01-29,1,16,7
A,2018-01-29,2,27,11
A,2018-01-29,3,49,15
A,2018-01-29,4,38,11
A,2018-01-30,1,13,3
A,2018-01-30,2,42,13
A,2018-01-30,3,31,7
A,2018-01-30,4,45,11
A,2018-01-31,1,15,3
A,2018-01-31,2,31,18
A,2018-01-31,3,48,18
A,2018-01-31,4,45,11
A,2018-02-01,1,11,7
A,2018-02-01,2,26,9
A,2018-02-01,3,38,13
A,2018-02-01,4,42,13
A,2018-02-02,1,16,6
A,2018-02-02,2,21,9
A,2018-02-02,3,44,14
A,2018-02-02,4,34,7
A,2018-02-03,1,15,3
A,2018-02-03,2,28,8
A,2018-02-03,3,44,7
A,2018-02-03,4,51,7
A,2018-02-04,1,25,8
A,2018-02-04,2,35,12
A,2018-02-04,3,44,14
A,2018-02-04,4,36,7
A,2018-02-05,1,22,4
A,2018-02-05,2,33,13
A,2018-02-05,3,40,14
A,2018-02-05,4,59,18
A,2018-02-06,1,9,2
A,2018-02-06,2,28,10
A,2018-02-06,3,38,11
A,2018-02-06,4,44,9
A,2018-02-07,1,17,9
A,2018-02-07,2,21,5
A,2018-02-07,3,48,10
A,2018-02-07,4,46,10
A,2018-02-08,1,13,3
A,2018-02-08,2,23,6
A,2018-02-08,3,47,13
A,2018-02-08,4,41,12
A,2018-02-09,1,13,5
A,2018-02-09,2,24,6
A,2018-02-09,3,41,14
A,2018-02-09,4,35,8
A,2018-02-10,1,14,3
A,2018-02-10,2,24,5
A,2018-02-10,3,43,16
A,2018-02-10,4,38,6
A,2018-02-11,1,22,5
A,2018-02-11,2,25,4
A,2018-02-11,3,39,10
A,2018-02-11,4,44,8
A,2018-02-12,1,18,6
A,2018-02-12,2,31,16
A,2018-02-12,3,49,19
A,2018-02-12,4,43,14
A,2018-02-13,1,16,5
A,2018-02-13,2,36,9
A,2018-02-13,3,49,18
A,2018-02-13,4,45,9
A,2018-02-14,1,21,10
A,2018-02-14,2,29,9
A,2018-02-14,3,36,17
A,2018-02-14,4,42,8
A,2018-02-15,1,18,6
A,2018-02-15,2,26,4
A,2018-02-15,3,44,7
A,2018-02-15,4,36,8
A,2018-02-16,1,10,3
A,2018-02-16,2,19,8
A,2018-02-16,3,48,9
A,2018-02-16,4,52,17
A,2018-02-17,1,18,5
A,2018-02-17,2,29,7
A,2018-02-17,3,53,16
A,2018-02-17,4,47,14
A,2018-02-18,1,20,6
A,2018-02-18,2,25,6
A,2018-02-18,3,48,9
A,2018-02-18,4,47,13
A,2018-02-19,1,23,7
A,2018-02-19,2,19,9
A,2018-02-19,3,57,17
A,2018-02-19,4,39,13
A,2018-02-20,1,10,1
A,2018-02-20,2,23,4
A,2018-02-20,3,38,9
A,2018-02-20,4,30,10
A,2018-02-21,1,18,6
A,2018-02-21,2,30,7
A,2018-02-21,3,37,15
A,2018-02-21,4,44,6
A,2018-02-22,1,8,4
A,2018-02-22,2,30,8
A,2018-02-22,3,36,16
A,2018-02-22,4,36,10
A,2018-02-23,1,20,5
A,2018-02-23,2,23,7
A,2018-02-23,3,33,8
A,2018-02-23,4,36,9
A,2018-02-24,1,9,1
A,2018-02-24,2,26,9
A,2018-02-24,3,45,8
A,2018-02-24,4,30,13
A,2018-02-25,1,10,3
A,2018-02-25,2,33,5
A,2018-02-25,3,39,10
A,2018-02-25,4,37,6
A,2018-02-26,1,16,7
A,2018-02-26,2,37,11
A,2018-02-26,3,50,17
A,2018-02-26,4,37,13
A,2018-02-27,1,15,5
A,2018-02-27,2,33,12
A,2018-02-27,3,32,11
A,2018-02-27,4,43,7
A,2018-02-28,1,17,5
A,2018-02-28,2,27,8
A,2018-02-28,3,44,14
A,2018-02-28,4,32,7
A,2018-03-01,1,13,3
A,2018-03-01,2,20,3
A,2018-03-01,3,42,13
A,2018-03-01,4,40,8
A,2018-03-02,1,11,1
A,2018-03-02,2,23,9
A,2018-03-02,3,44,9
A,2018-03-02,4,33,7
A,2018-03-03,1,12,1
A,2018-03-03,2,25,3
A,2018-03-03,3,32,11
A,2018-03-03,4,41,12
A,2018-03-04,1,15,4
A,2018-03-04,2,36,14
A,2018-03-04,3,41,14
A,2018-03-04,4,34,8
A,2018-03-05,1,10,5
A,2018-03-05,2,25,2
A,2018-03-05,3,30,13
A,2018-03-05,4,32,7
A,2018-03-06,1,7,1
A,2018-03-06,2,27,11
A,2018-03-06,3,44,17
A,2018-03-06,4,40,10
A,2018-03-07,1,16,5
A,2018-03-07,2,22,5
A,2018-03-07,3,41,15
A,2018-03-07,4,54,17
A,2018-03-08,1,12,2
A,2018-03-08,2,31,10
A,2018-03-08,3,23,8
A,2018-03-08,4,28,9
A,2018-03-09,1,13,2
A,2018-03-09,2,28,10
A,2018-03-09,3,43,17
A,2018-03-09,4,35,11
A,2018-03-10,1,10,2
A,2018-03-10,2,27,4
A,2018-03-10,3,46,16
A,2018-03-10,4,25,6
A,2018-03-11,1,16,5
A,2018-03-11,2,24,8
A,2018-03-11,3,55,14
A,2018-03-11,4,35,12
A,2018-03-12,1,15,4
A,2018-03-12,2,15,5
A,2018-03-12,3,50,14
A,2018-03-12,4,38,15
A,2018-03-13,1,12,6
A,2018-03-13,2,24,7
A,2018-03-13,3,29,13
A,2018-03-13,4,40,9
A,2018-03-14,1,21,6
A,2018-03-14,2,25,7
A,2018-03-14,3,54,19
A,2018-03-14,4,48,10
A,2018-03-15,1,12,6
A,2018-03-15,2,31,12
A,2018-03-15,3,36,10
A,2018-03-15,4,29,12
A,2018-03-16,1,9,2
A,2018-03-16,2,22,8
A,2018-03-16,3,33,14
A,2018-03-16,4,28,6
A,2018-03-17,1,10,3
A,2018-03-17,2,30,9
A,2018-03-17,3,40,9
A,2018-03-17,4,35,8
A,2018-03-18,1,12,3
A,2018-03-18,2,26,7
A,2018-03-18,3,32,9
A,2018-03-18,4,39,4
A,2018-03-19,1,7,1
A,2018-03-19,2,22,8
A,2018-03-19,3,50,19
A,2018-03-19,4,38,6
A,2018-03-20,1,12,5
A,2018-03-20,2,26,7
A,2018-03-20,3,45,14
A,2018-03-20,4,44,13
A,2018-03-21,1,12,5
A,2018-03-21,2,30,10
A,2018-03-21,3,30,9
A,2018-03-21,4,41,10
A,2018-03-22,1,18,6
A,2018-03-22,2,25,9
A,2018-03-22,3,30,9
A,2018-03-22,4,46,11
A,2018-03-23,1,13,4
A,2018-03-23,2,23,7
A,2018-03-23,3,39,12
A,2018-03-23,4,36,8
A,2018-03-24,1,9,1
A,2018-03-24,2,25,7
A,2018-03-24,3,43,10
A,2018-03-24,4,32,7
A,2018-03-25,1,11,4
A,2018-03-25,2,21,4
A,2018-03-25,3,46,15
A,2018-03-25,4,43,11
A,2018-03-26,1,14,3
A,2018-03-26,2,30,7
A,2018-03-26,3,34,13
A,2018-03-26,4,46,12
A,2018-03-27,1,18,6
A,2018-03-27,2,23,4
A,2018-03-27,3,40,10
A,2018-03-27,4,36,9
A,2018-03-28,1,17,4
A,2018-03-28,2,27,12
A,2018-03-28,3,42,12
A,2018-03-28,4,30,8
A,2018-03-29,1,10,4
A,2018-03-29,2,25,10
A,2018-03-29,3,33,11
A,2018-03-29,4,35,8
A,2018-03-30,1,15,5
A,2018-03-30,2,18,8
A,2018-03-30,3,34,16
A,2018-03-30,4,35,14
A,2018-03-31,1,15,4
A,2018-03-31,2,21,9
A,2018-03-31,3,31,10
A,2018-03-31,4,33,5
A,2018-04-01,1,9,5
A,2018-04-01,2,28,6
A,2018-04-01,3,32,11
A,2018-04-01,4,46,17
A,2018-04-02,1,15,4
A,2018-04-02,2,31,10
A,2018-04-02,3,42,12
A,2018-04-02,4,32,9
A,2018-04-03,1,12,4
A,2018-04-03,2,16,3
A,2018-04-03,3,33,13
A,2018-04-03,4,34,7
