Year,Month,Weekday,Site,ED Enc,ED Enc Admitted
2025,8.0,5,C,127,42
2018,2.5,5,D,92,13
2020,4.333333333333333,6,C,57,18
2020,8.7,6,A,121,36
2020,5.266666666666667,6,D,53,10
2022,6.5,4,B,148,25
2020,8.8,2,A,107,40
2022,1.7666666666666666,1,B,158,45
2020,2.8,2,D,75,13
2025,8.3,7,B,180,41
2024,1.8666666666666667,6,A,137,37
2020,11.7,7,D,65,11
2024,6.233333333333333,6,A,120,39
2020,3.7666666666666666,2,A,88,26
2023,11.233333333333333,3,C,86,31
2021,6.133333333333334,6,D,106,10
2023,12.7,5,D,75,11
2022,1.0,6,C,111,30
2023,4.633333333333333,4,D,59,13
2025,2.8,2,B,199,57
2020,11.066666666666666,2,B,160,33
2018,1.4,6,D,62,6
2021,6.666666666666667,1,B,178,58
2025,5.233333333333333,4,D,80,11
2019,7.566666666666666,4,A,129,48
2024,6.1,2,A,122,45
2019,10.2,1,B,185,49
2022,1.6,3,B,142,36
2024,11.2,4,A,118,43
2021,12.0,3,C,88,26
2020,3.1666666666666665,5,D,56,11
2021,12.633333333333333,1,C,94,33
2022,8.833333333333334,5,D,84,12
2023,12.366666666666667,2,C,103,26
2020,5.666666666666667,4,D,64,14
2024,1.1,4,C,109,29
2019,7.333333333333333,4,A,119,40
2019,6.3,1,D,70,16
2018,9.0,6,B,167,39
2020,4.233333333333333,3,B,110,29
2023,7.733333333333333,7,D,78,13
2020,8.6,3,D,62,14
2019,8.1,7,D,86,16
2023,5.7,1,A,139,43
2018,3.0,4,A,115,27
2021,8.3,2,C,90,28
2021,8.866666666666667,5,C,103,26
2025,5.266666666666667,5,D,98,22
2022,6.8,6,D,67,7
2022,11.066666666666666,4,B,178,40
2018,6.733333333333333,6,B,163,24
2023,11.0,3,C,90,19
2021,11.4,6,C,91,30
2019,12.166666666666666,5,C,99,32
2020,7.566666666666666,6,A,101,29
2021,2.7,1,D,82,13
2021,7.533333333333333,6,C,78,22
2024,8.533333333333333,6,D,80,12
2018,2.5666666666666664,7,C,88,25
2020,6.466666666666667,1,C,92,27
2019,12.0,7,C,83,25
2022,9.833333333333334,1,A,140,59
2024,6.233333333333333,6,C,112,38
2019,10.766666666666666,4,C,83,24
2023,4.033333333333333,7,D,75,11
2020,7.066666666666666,5,A,125,32
2018,4.433333333333334,6,A,78,15
2022,9.4,2,B,164,36
2024,5.6,7,C,122,33
2020,12.533333333333333,4,C,75,27
2019,10.766666666666666,4,A,109,41
2018,6.233333333333333,5,B,153,38
2019,12.566666666666666,3,D,90,15
2022,11.466666666666667,2,D,78,10
2020,1.3,5,C,102,30
2020,5.8,1,B,147,37
2024,2.0,4,A,138,49
2025,8.7,5,D,77,6
2024,5.766666666666667,5,C,104,38
2023,9.6,2,C,114,26
2022,6.0,3,D,72,17
2018,9.2,5,D,75,11
2023,8.566666666666666,5,C,114,36
2023,10.9,6,A,95,32
2021,9.266666666666667,4,B,170,30
2022,3.066666666666667,4,D,58,9
2019,8.066666666666666,6,D,89,8
2023,5.433333333333334,7,B,164,44
2025,8.7,5,B,161,38
2019,10.1,5,C,96,30
2022,5.133333333333334,4,B,176,38
2018,5.933333333333334,2,C,107,33
2020,7.366666666666666,7,B,167,45
2021,1.9333333333333333,5,B,139,40
2019,7.9,7,D,81,14
2019,12.933333333333334,7,D,66,14
2023,8.533333333333333,4,B,168,49
2020,7.366666666666666,7,C,99,29
2020,12.033333333333333,3,B,126,30
2018,8.4,1,D,71,6
2023,7.166666666666667,4,B,179,47
2023,2.3,5,D,75,18
2024,9.0,6,B,202,56
2025,6.9,6,A,130,49
2018,11.166666666666666,2,B,134,30
2019,8.4,2,B,148,48
2022,11.866666666666667,7,C,106,36
2023,11.8,6,C,98,24
2018,3.7,4,C,74,20
2019,7.233333333333333,1,C,95,30
2021,12.166666666666666,1,C,106,35
2020,8.0,6,D,70,14
2021,4.866666666666667,2,A,125,38
2023,11.233333333333333,3,A,142,49
2021,11.1,4,A,111,31
2019,1.7,2,B,154,31
2018,11.933333333333334,4,B,166,42
2018,5.833333333333333,6,A,103,29
2023,1.1,3,A,112,41
2024,12.3,2,C,107,39
2022,1.6666666666666665,5,D,75,13
2020,1.4333333333333333,2,A,120,26
2020,3.533333333333333,2,A,98,31
2019,8.533333333333333,6,C,85,21
2021,12.866666666666667,1,D,68,17
2018,10.033333333333333,2,A,128,34
2024,1.7,1,D,65,10
2018,7.1,3,C,87,24
2022,6.0,2,D,88,9
2021,3.0,1,A,126,49
2025,7.333333333333333,5,D,66,13
2019,12.133333333333333,4,A,124,37
2019,3.3,7,A,142,47
2022,3.2666666666666666,3,D,66,6
2020,10.166666666666666,2,D,59,12
2021,5.066666666666666,1,A,133,43
2020,5.166666666666667,3,B,133,43
2023,5.133333333333334,5,D,74,16
2020,12.433333333333334,1,C,82,26
2023,10.666666666666666,6,B,146,48
2022,1.4,4,A,122,29
2020,3.6666666666666665,6,A,101,26
2018,9.2,5,B,173,47
2023,3.1,6,B,185,39
2018,1.9333333333333333,1,D,57,15
2024,10.7,2,D,75,15
2021,4.3,6,C,96,43
2023,6.2,3,D,77,20
2024,4.2,7,C,113,36
2023,11.033333333333333,4,D,83,17
2025,8.733333333333333,6,B,200,46
2023,9.733333333333333,6,D,81,12
2021,7.2,3,B,203,48
2021,2.9,7,C,95,33
2024,1.7,1,A,137,50
2021,3.033333333333333,2,B,169,38
2019,3.9,4,C,83,27
2019,1.7333333333333334,3,C,96,30
2024,7.5,2,A,123,35
2024,4.133333333333334,5,B,160,48
2024,12.933333333333334,7,A,147,43
2020,12.466666666666667,2,B,139,34
2020,4.6,7,D,53,13
2025,1.2666666666666666,4,A,128,44
2024,2.2333333333333334,4,B,153,45
2022,12.7,4,A,91,33
2022,10.066666666666666,1,B,207,60
2020,6.466666666666667,1,B,155,51
2018,1.6666666666666665,7,D,77,11
2020,7.866666666666667,1,D,69,11
2018,1.2333333333333334,1,D,75,14
2020,10.533333333333333,6,D,74,9
2024,8.0,3,D,94,10
2022,12.533333333333333,6,B,205,46
2018,8.566666666666666,6,D,77,11
2020,8.8,2,B,152,40
2018,3.6666666666666665,3,A,113,34
2020,2.3666666666666667,3,B,143,31
2025,1.5666666666666667,6,C,91,29
2022,1.2666666666666666,7,C,93,23
2022,6.4,1,D,79,12
2019,8.633333333333333,2,B,151,42
2019,3.3666666666666667,2,C,99,30
2023,6.666666666666667,3,B,185,47
2018,9.0,6,A,119,25
2019,2.4,3,A,121,33
2018,11.866666666666667,2,C,97,32
2018,2.9,3,D,75,15
2024,2.1333333333333333,1,C,112,42
2021,3.3,3,C,87,25
2024,11.9,4,D,45,8
2021,3.5666666666666664,4,B,146,44
2018,7.766666666666667,2,C,83,26
2022,9.166666666666666,2,C,114,31
2025,3.3666666666666667,3,A,120,48
2018,9.0,5,A,119,35
2018,8.333333333333334,6,C,99,28
2024,11.7,5,C,110,37
2018,8.233333333333333,3,D,76,11
2020,6.966666666666667,2,A,124,47
2019,11.966666666666667,6,D,58,13
2018,9.333333333333334,2,A,121,44
2022,10.166666666666666,4,C,99,30
2020,9.6,6,C,93,26
2023,7.6,3,B,184,53
2021,5.866666666666667,4,A,98,25
2020,8.633333333333333,4,C,71,27
2021,10.466666666666667,5,A,137,48
2018,9.333333333333334,2,D,74,15
2025,6.166666666666667,5,C,106,37
2018,10.7,1,D,79,14
2021,10.5,6,D,78,12
2022,7.566666666666666,1,D,70,11
2021,10.566666666666666,1,A,131,43
2023,12.766666666666666,7,C,89,22
2019,5.9,2,B,170,47
2019,5.333333333333333,6,B,143,32
2024,11.6,2,A,162,45
2025,6.5,1,B,182,59
2018,9.933333333333334,6,B,140,33
2020,11.8,3,A,100,37
2018,8.466666666666667,3,D,91,12
2018,7.8,3,A,107,31
2021,4.766666666666667,6,A,123,26
2018,3.2333333333333334,4,C,73,24
2018,5.633333333333333,7,D,69,7
2024,7.033333333333333,2,B,162,52
2022,2.9,1,B,156,48
2023,1.7666666666666666,2,B,140,30
2019,12.266666666666667,1,B,152,40
2021,5.466666666666667,6,D,80,7
2025,7.866666666666667,7,D,85,18
2020,7.8,6,D,70,17
2022,6.4,1,C,101,32
2019,11.866666666666667,3,A,111,25
2021,9.133333333333333,7,D,77,15
2021,9.6,7,A,136,36
2023,4.333333333333333,2,B,164,35
2022,5.066666666666666,2,C,86,30
2021,1.7666666666666666,7,D,63,8
2018,2.5,5,B,142,44
2018,5.866666666666667,7,C,101,29
2023,11.333333333333334,6,C,109,34
2024,5.9,2,D,86,10
2023,12.633333333333333,3,B,200,54
2018,12.166666666666666,4,C,63,20
2025,7.566666666666666,5,A,139,44
2019,1.2,1,C,115,33
2021,8.733333333333333,1,B,205,62
2024,1.6,5,C,86,42
2021,12.366666666666667,7,C,105,31
2024,9.733333333333333,1,D,80,14
2024,12.333333333333334,3,D,69,15
2019,9.266666666666667,1,C,99,24
2021,5.633333333333333,4,B,178,56
2018,8.4,1,A,140,45
2024,10.933333333333334,2,A,125,37
2023,7.066666666666666,1,B,161,48
2023,8.5,3,B,159,52
2023,5.833333333333333,5,C,103,31
2021,11.0,1,D,74,13
2022,12.733333333333333,5,A,104,30
2022,8.9,7,A,116,38
2019,7.1,4,C,84,20
2025,1.7333333333333334,4,C,106,36
2022,3.466666666666667,2,B,156,33
2020,9.8,5,C,74,30
2024,1.9333333333333333,1,A,142,52
2019,9.1,3,B,150,41
2024,4.766666666666667,3,A,107,35
2025,1.4666666666666668,3,B,199,60
2021,8.033333333333333,1,A,147,54
2025,2.1333333333333333,3,C,99,43
2020,9.033333333333333,3,A,118,39
2019,6.333333333333333,2,B,162,48
2018,1.3333333333333333,4,D,60,10
2018,5.8,5,A,117,35
