Site,Date,Hour,ED Enc,ED Enc Admitted,Year,Month,Day,Weekday
A,2018-01-01,1,16,6,2018,1,1,1
A,2018-01-01,2,25,8,2018,1,1,1
A,2018-01-01,3,52,16,2018,1,1,1
A,2018-01-01,4,36,10,2018,1,1,1
A,2018-01-02,1,18,5,2018,1,2,2
A,2018-01-02,2,28,9,2018,1,2,2
A,2018-01-02,3,44,6,2018,1,2,2
A,2018-01-02,4,44,15,2018,1,2,2
A,2018-01-03,1,16,5,2018,1,3,3
A,2018-01-03,2,23,9,2018,1,3,3
A,2018-01-03,3,38,11,2018,1,3,3
A,2018-01-03,4,43,17,2018,1,3,3
A,2018-01-04,1,10,3,2018,1,4,4
A,2018-01-04,2,32,11,2018,1,4,4
A,2018-01-04,3,40,16,2018,1,4,4
A,2018-01-04,4,46,10,2018,1,4,4
A,2018-01-05,1,21,11,2018,1,5,5
A,2018-01-05,2,24,4,2018,1,5,5
A,2018-01-05,3,38,18,2018,1,5,5
A,2018-01-05,4,33,10,2018,1,5,5
A,2018-01-06,1,11,1,2018,1,6,6
A,2018-01-06,2,29,6,2018,1,6,6
A,2018-01-06,3,49,14,2018,1,6,6
A,2018-01-06,4,43,7,2018,1,6,6
A,2018-01-07,1,7,1,2018,1,7,7
A,2018-01-07,2,31,8,2018,1,7,7
A,2018-01-07,3,25,8,2018,1,7,7
A,2018-01-07,4,40,12,2018,1,7,7
A,2018-01-08,1,17,5,2018,1,8,1
A,2018-01-08,2,27,8,2018,1,8,1
A,2018-01-08,3,37,14,2018,1,8,1
A,2018-01-08,4,41,12,2018,1,8,1
A,2018-01-09,1,18,6,2018,1,9,2
A,2018-01-09,2,32,8,2018,1,9,2
A,2018-01-09,3,40,12,2018,1,9,2
A,2018-01-09,4,44,13,2018,1,9,2
A,2018-01-10,1,13,5,2018,1,10,3
A,2018-01-10,2,27,9,2018,1,10,3
A,2018-01-10,3,36,15,2018,1,10,3
A,2018-01-10,4,35,9,2018,1,10,3
A,2018-01-11,1,9,5,2018,1,11,4
A,2018-01-11,2,17,5,2018,1,11,4
A,2018-01-11,3,38,11,2018,1,11,4
A,2018-01-11,4,36,10,2018,1,11,4
A,2018-01-12,1,10,2,2018,1,12,5
A,2018-01-12,2,39,21,2018,1,12,5
A,2018-01-12,3,41,19,2018,1,12,5
A,2018-01-12,4,23,5,2018,1,12,5
A,2018-01-13,1,7,4,2018,1,13,6
A,2018-01-13,2,29,15,2018,1,13,6
A,2018-01-13,3,37,13,2018,1,13,6
A,2018-01-13,4,43,11,2018,1,13,6
A,2018-01-14,1,15,7,2018,1,14,7
A,2018-01-14,2,29,13,2018,1,14,7
A,2018-01-14,3,46,16,2018,1,14,7
A,2018-01-14,4,44,6,2018,1,14,7
A,2018-01-15,1,20,5,2018,1,15,1
A,2018-01-15,2,30,9,2018,1,15,1
A,2018-01-15,3,35,11,2018,1,15,1
A,2018-01-15,4,37,13,2018,1,15,1
A,2018-01-16,1,13,2,2018,1,16,2
A,2018-01-16,2,26,5,2018,1,16,2
A,2018-01-16,3,43,18,2018,1,16,2
A,2018-01-16,4,38,11,2018,1,16,2
A,2018-01-17,1,12,3,2018,1,17,3
A,2018-01-17,2,25,8,2018,1,17,3
A,2018-01-17,3,38,13,2018,1,17,3
A,2018-01-17,4,38,9,2018,1,17,3
A,2018-01-18,1,20,8,2018,1,18,4
A,2018-01-18,2,26,9,2018,1,18,4
A,2018-01-18,3,45,14,2018,1,18,4
A,2018-01-18,4,37,12,2018,1,18,4
A,2018-01-19,1,17,5,2018,1,19,5
A,2018-01-19,2,32,13,2018,1,19,5
A,2018-01-19,3,47,16,2018,1,19,5
A,2018-01-19,4,32,6,2018,1,19,5
A,2018-01-20,1,14,3,2018,1,20,6
A,2018-01-20,2,28,3,2018,1,20,6
A,2018-01-20,3,57,11,2018,1,20,6
A,2018-01-20,4,51,10,2018,1,20,6
A,2018-01-21,1,19,4,2018,1,21,7
A,2018-01-21,2,35,12,2018,1,21,7
A,2018-01-21,3,34,9,2018,1,21,7
A,2018-01-21,4,45,14,2018,1,21,7
